collection_key,theme_slug,theme_name,theme_group,title,edition_key,subcourse,provider,dataset_key,source_name,source_url,source_item_key,official_ordinal,place_name,address_hint,feature_id,sort_order,item_title,item_summary,metadata_json
heritage-visit-campaign:gaya-civilization-route:current,gaya-civilization-route,가야 문명의 길,국가유산 방문 캠페인,가야 문명의 길 · 국가유산 방문 캠페인,current,,korea-heritage-agency,heritage-visit-campaign-current,국가유산진흥원,https://www.kh.or.kr/visit/kor/road/1/view.do?key=2408220001,heritage-01-01,1,고령 지산동 고분군,,f_4783025326_p_ae9f886279feb6ec,1,고령 지산동 고분군,가야 문명의 길 공식 방문 거점,"{""route_number"":1,""is_plus_spot"":false,""feature_match_confidence"":""exact"",""feature_match_reasons"":[""공식·공공 제공자 후보의 명칭이 일치하고 지역 단서가 충돌하지 않음""],""feature_match_partial"":false}"
heritage-visit-campaign:gaya-civilization-route:current,gaya-civilization-route,가야 문명의 길,국가유산 방문 캠페인,가야 문명의 길 · 국가유산 방문 캠페인,current,,korea-heritage-agency,heritage-visit-campaign-current,국가유산진흥원,https://www.kh.or.kr/visit/kor/road/1/view.do?key=2408220001,heritage-01-02,2,고성 송학동 고분군,,f_4882025025_p_c67bfb91de574fe1,2,고성 송학동 고분군,가야 문명의 길 공식 방문 거점,"{""route_number"":1,""is_plus_spot"":false,""feature_match_confidence"":""exact"",""feature_match_reasons"":[""공식·공공 제공자 후보의 명칭이 일치하고 지역 단서가 충돌하지 않음""],""feature_match_partial"":false}"
heritage-visit-campaign:gaya-civilization-route:current,gaya-civilization-route,가야 문명의 길,국가유산 방문 캠페인,가야 문명의 길 · 국가유산 방문 캠페인,current,,korea-heritage-agency,heritage-visit-campaign-current,국가유산진흥원,https://www.kh.or.kr/visit/kor/road/1/view.do?key=2408220001,heritage-01-03,3,국립김해박물관,,f_4825010600_p_036e0e5f1b791d0f,3,국립김해박물관,가야 문명의 길 공식 방문 거점,"{""route_number"":1,""is_plus_spot"":false,""feature_match_confidence"":""exact"",""feature_match_reasons"":[""공식·공공 제공자 후보의 명칭이 일치하고 지역 단서가 충돌하지 않음""],""feature_match_partial"":false}"
heritage-visit-campaign:gaya-civilization-route:current,gaya-civilization-route,가야 문명의 길,국가유산 방문 캠페인,가야 문명의 길 · 국가유산 방문 캠페인,current,,korea-heritage-agency,heritage-visit-campaign-current,국가유산진흥원,https://www.kh.or.kr/visit/kor/road/1/view.do?key=2408220001,heritage-01-04,4,김해 대성동 고분군,,f_4825010500_p_7145c9c99ef0e660,4,김해 대성동 고분군,가야 문명의 길 공식 방문 거점,"{""route_number"":1,""is_plus_spot"":false,""feature_match_confidence"":""exact"",""feature_match_reasons"":[""공식·공공 제공자 후보의 명칭이 일치하고 지역 단서가 충돌하지 않음""],""feature_match_partial"":false}"
heritage-visit-campaign:gaya-civilization-route:current,gaya-civilization-route,가야 문명의 길,국가유산 방문 캠페인,가야 문명의 길 · 국가유산 방문 캠페인,current,,korea-heritage-agency,heritage-visit-campaign-current,국가유산진흥원,https://www.kh.or.kr/visit/kor/road/1/view.do?key=2408220001,heritage-01-05,5,김해 수로왕릉,,f_4825010200_p_7de95ac7555ac51f,5,김해 수로왕릉,가야 문명의 길 공식 방문 거점,"{""route_number"":1,""is_plus_spot"":false,""feature_match_confidence"":""exact"",""feature_match_reasons"":[""공식·공공 제공자 후보의 명칭이 일치하고 지역 단서가 충돌하지 않음""],""feature_match_partial"":false}"
heritage-visit-campaign:gaya-civilization-route:current,gaya-civilization-route,가야 문명의 길,국가유산 방문 캠페인,가야 문명의 길 · 국가유산 방문 캠페인,current,,korea-heritage-agency,heritage-visit-campaign-current,국가유산진흥원,https://www.kh.or.kr/visit/kor/road/1/view.do?key=2408220001,heritage-01-06,6,남원 유곡리와 두락리 고분군,,f_5219047026_p_d7c489731a76fe85,6,남원 유곡리와 두락리 고분군,가야 문명의 길 공식 방문 거점,"{""route_number"":1,""is_plus_spot"":false,""feature_match_confidence"":""exact"",""feature_match_reasons"":[""공식·공공 제공자 후보의 명칭이 일치하고 지역 단서가 충돌하지 않음""],""feature_match_partial"":false}"
heritage-visit-campaign:gaya-civilization-route:current,gaya-civilization-route,가야 문명의 길,국가유산 방문 캠페인,가야 문명의 길 · 국가유산 방문 캠페인,current,,korea-heritage-agency,heritage-visit-campaign-current,국가유산진흥원,https://www.kh.or.kr/visit/kor/road/1/view.do?key=2408220001,heritage-01-07,7,창녕 교동과 송현동 고분군,,f_4874025022_p_86d9988a6b9e3460,7,창녕 교동과 송현동 고분군,가야 문명의 길 공식 방문 거점,"{""route_number"":1,""is_plus_spot"":false,""feature_match_confidence"":""exact"",""feature_match_reasons"":[""공식·공공 제공자 후보의 명칭이 일치하고 지역 단서가 충돌하지 않음""],""feature_match_partial"":false}"
heritage-visit-campaign:gaya-civilization-route:current,gaya-civilization-route,가야 문명의 길,국가유산 방문 캠페인,가야 문명의 길 · 국가유산 방문 캠페인,current,,korea-heritage-agency,heritage-visit-campaign-current,국가유산진흥원,https://www.kh.or.kr/visit/kor/road/1/view.do?key=2408220001,heritage-01-08,8,함안 말이산 고분군,,f_4873025024_p_2cf37f2852e97e0d,8,함안 말이산 고분군,가야 문명의 길 공식 방문 거점,"{""route_number"":1,""is_plus_spot"":false,""feature_match_confidence"":""exact"",""feature_match_reasons"":[""공식·공공 제공자 후보의 명칭이 일치하고 지역 단서가 충돌하지 않음""],""feature_match_partial"":false}"
heritage-visit-campaign:gaya-civilization-route:current,gaya-civilization-route,가야 문명의 길,국가유산 방문 캠페인,가야 문명의 길 · 국가유산 방문 캠페인,current,,korea-heritage-agency,heritage-visit-campaign-current,국가유산진흥원,https://www.kh.or.kr/visit/kor/road/1/view.do?key=2408220001,heritage-01-09,9,합천 옥전 고분군,,f_4889037027_p_c218f78842f2dda8,9,합천 옥전 고분군,가야 문명의 길 공식 방문 거점,"{""route_number"":1,""is_plus_spot"":false,""feature_match_confidence"":""exact"",""feature_match_reasons"":[""공식·공공 제공자 후보의 명칭이 일치하고 지역 단서가 충돌하지 않음""],""feature_match_partial"":false}"
heritage-visit-campaign:gwandong-pungnyu-route:current,gwandong-pungnyu-route,관동 풍류의 길,국가유산 방문 캠페인,관동 풍류의 길 · 국가유산 방문 캠페인,current,,korea-heritage-agency,heritage-visit-campaign-current,국가유산진흥원,https://www.kh.or.kr/visit/kor/road/2/view.do?key=2408220002,heritage-02-01,1,강릉 경포대,,f_5115013700_p_57b1235b08e8e8e3,10,강릉 경포대,관동 풍류의 길 공식 방문 거점,"{""route_number"":2,""is_plus_spot"":false,""feature_match_confidence"":""exact"",""feature_match_reasons"":[""공식·공공 제공자 후보의 명칭이 일치하고 지역 단서가 충돌하지 않음""],""feature_match_partial"":false}"
