collection_key,theme_slug,theme_name,theme_group,title,edition_key,subcourse,provider,dataset_key,source_name,source_url,source_item_key,source_component_key,official_ordinal,place_name,address_hint,feature_id,sort_order,item_title,item_summary,metadata_json
korean-tourism-100:2023-2024,korean-tourism-100,한국관광 100선,관광 선정,2023-2024 한국관광 100선,2023-2024,,korea-tourism-organization,korean-tourism-100-2023-2024,문화체육관광부·한국관광공사,https://korean.visitkorea.or.kr/other/other_list.do?otdid=622bcd99-84fa-11e8-8165-020027310001,kt100-2023-2024-001,component-01,1,서울 5대 고궁,,f_1111011900_p_4fb0ba2087650c83,1,서울 5대 고궁,2023-2024 한국관광 100선 공식 선정지,"{""region"":""서울"",""official_entry_type"":""single"",""feature_match_confidence"":""review"",""feature_match_reasons"":[""5대 고궁 중 경복궁·창덕궁 2곳만 안전하게 확인되어 나머지 3곳 매칭이 필요함""],""feature_match_partial"":true}"
korean-tourism-100:2023-2024,korean-tourism-100,한국관광 100선,관광 선정,2023-2024 한국관광 100선,2023-2024,,korea-tourism-organization,korean-tourism-100-2023-2024,문화체육관광부·한국관광공사,https://korean.visitkorea.or.kr/other/other_list.do?otdid=622bcd99-84fa-11e8-8165-020027310001,kt100-2023-2024-001,component-02,1,서울 5대 고궁,,f_1111013000_p_bc4cb2e11a46a501,1,서울 5대 고궁,2023-2024 한국관광 100선 공식 선정지,"{""region"":""서울"",""official_entry_type"":""single"",""feature_match_confidence"":""review"",""feature_match_reasons"":[""5대 고궁 중 경복궁·창덕궁 2곳만 안전하게 확인되어 나머지 3곳 매칭이 필요함""],""feature_match_partial"":true}"
korean-tourism-100:2023-2024,korean-tourism-100,한국관광 100선,관광 선정,2023-2024 한국관광 100선,2023-2024,,korea-tourism-organization,korean-tourism-100-2023-2024,문화체육관광부·한국관광공사,https://korean.visitkorea.or.kr/other/other_list.do?otdid=622bcd99-84fa-11e8-8165-020027310001,kt100-2023-2024-002,primary,2,홍대거리,,,2,홍대거리,2023-2024 한국관광 100선 공식 선정지,"{""region"":""서울"",""official_entry_type"":""single"",""feature_match_confidence"":""unmatched"",""feature_match_reasons"":[""제공된 운영 후보에서 동일 장소로 안전하게 판단할 Feature를 찾지 못함""],""feature_match_partial"":false,""feature_match_status"":""unresolved""}"
korean-tourism-100:2023-2024,korean-tourism-100,한국관광 100선,관광 선정,2023-2024 한국관광 100선,2023-2024,,korea-tourism-organization,korean-tourism-100-2023-2024,문화체육관광부·한국관광공사,https://korean.visitkorea.or.kr/other/other_list.do?otdid=622bcd99-84fa-11e8-8165-020027310001,kt100-2023-2024-003,primary,3,서울숲,,,3,서울숲,2023-2024 한국관광 100선 공식 선정지,"{""region"":""서울"",""official_entry_type"":""single"",""feature_match_confidence"":""review"",""feature_match_reasons"":[""지역이 맞는 공공 후보가 있으나 명칭이 동일 장소라고 단정할 수 없어 Feature ID를 채택하지 않음""],""feature_match_partial"":false,""feature_match_status"":""unresolved""}"
korean-tourism-100:2023-2024,korean-tourism-100,한국관광 100선,관광 선정,2023-2024 한국관광 100선,2023-2024,,korea-tourism-organization,korean-tourism-100-2023-2024,문화체육관광부·한국관광공사,https://korean.visitkorea.or.kr/other/other_list.do?otdid=622bcd99-84fa-11e8-8165-020027310001,kt100-2023-2024-004,primary,4,동대문디자인플라자,,,4,동대문디자인플라자,2023-2024 한국관광 100선 공식 선정지,"{""region"":""서울"",""official_entry_type"":""single"",""feature_match_confidence"":""review"",""feature_match_reasons"":[""지역이 맞는 공공 후보가 있으나 명칭이 동일 장소라고 단정할 수 없어 Feature ID를 채택하지 않음""],""feature_match_partial"":false,""feature_match_status"":""unresolved""}"
korean-tourism-100:2023-2024,korean-tourism-100,한국관광 100선,관광 선정,2023-2024 한국관광 100선,2023-2024,,korea-tourism-organization,korean-tourism-100-2023-2024,문화체육관광부·한국관광공사,https://korean.visitkorea.or.kr/other/other_list.do?otdid=622bcd99-84fa-11e8-8165-020027310001,kt100-2023-2024-005,primary,5,서울스카이&롯데월드,,,5,서울스카이&롯데월드,2023-2024 한국관광 100선 공식 선정지,"{""region"":""서울"",""official_entry_type"":""composite"",""feature_match_confidence"":""review"",""feature_match_reasons"":[""지역이 맞는 공공 후보가 있으나 명칭이 동일 장소라고 단정할 수 없어 Feature ID를 채택하지 않음""],""feature_match_partial"":false,""feature_match_status"":""unresolved""}"
korean-tourism-100:2023-2024,korean-tourism-100,한국관광 100선,관광 선정,2023-2024 한국관광 100선,2023-2024,,korea-tourism-organization,korean-tourism-100-2023-2024,문화체육관광부·한국관광공사,https://korean.visitkorea.or.kr/other/other_list.do?otdid=622bcd99-84fa-11e8-8165-020027310001,kt100-2023-2024-006,primary,6,남산 N서울타워,,f_1117010200_p_d15fdb6111598e36,6,남산 N서울타워,2023-2024 한국관광 100선 공식 선정지,"{""region"":""서울"",""official_entry_type"":""single"",""feature_match_confidence"":""high"",""feature_match_reasons"":[""공식·공공 제공자 후보의 명칭이 일치하고 지역 단서가 충돌하지 않음""],""feature_match_partial"":false}"
korean-tourism-100:2023-2024,korean-tourism-100,한국관광 100선,관광 선정,2023-2024 한국관광 100선,2023-2024,,korea-tourism-organization,korean-tourism-100-2023-2024,문화체육관광부·한국관광공사,https://korean.visitkorea.or.kr/other/other_list.do?otdid=622bcd99-84fa-11e8-8165-020027310001,kt100-2023-2024-007,primary,7,청와대앞길&서촌마을,,,7,청와대앞길&서촌마을,2023-2024 한국관광 100선 공식 선정지,"{""region"":""서울"",""official_entry_type"":""composite"",""feature_match_confidence"":""review"",""feature_match_reasons"":[""지역이 맞는 공공 후보가 있으나 명칭이 동일 장소라고 단정할 수 없어 Feature ID를 채택하지 않음""],""feature_match_partial"":false,""feature_match_status"":""unresolved""}"
korean-tourism-100:2023-2024,korean-tourism-100,한국관광 100선,관광 선정,2023-2024 한국관광 100선,2023-2024,,korea-tourism-organization,korean-tourism-100-2023-2024,문화체육관광부·한국관광공사,https://korean.visitkorea.or.kr/other/other_list.do?otdid=622bcd99-84fa-11e8-8165-020027310001,kt100-2023-2024-008,primary,8,익선동,,,8,익선동,2023-2024 한국관광 100선 공식 선정지,"{""region"":""서울"",""official_entry_type"":""single"",""feature_match_confidence"":""unmatched"",""feature_match_reasons"":[""제공된 운영 후보에서 동일 장소로 안전하게 판단할 Feature를 찾지 못함""],""feature_match_partial"":false,""feature_match_status"":""unresolved""}"
korean-tourism-100:2023-2024,korean-tourism-100,한국관광 100선,관광 선정,2023-2024 한국관광 100선,2023-2024,,korea-tourism-organization,korean-tourism-100-2023-2024,문화체육관광부·한국관광공사,https://korean.visitkorea.or.kr/other/other_list.do?otdid=622bcd99-84fa-11e8-8165-020027310001,kt100-2023-2024-009,primary,9,코엑스(스타필드),,,9,코엑스(스타필드),2023-2024 한국관광 100선 공식 선정지,"{""region"":""서울"",""official_entry_type"":""single"",""feature_match_confidence"":""unmatched"",""feature_match_reasons"":[""제공된 운영 후보에서 동일 장소로 안전하게 판단할 Feature를 찾지 못함""],""feature_match_partial"":false,""feature_match_status"":""unresolved""}"
