collection_key,theme_slug,theme_name,theme_group,title,edition_key,subcourse,provider,dataset_key,source_name,source_url,source_item_key,source_component_key,official_ordinal,place_name,address_hint,feature_id,sort_order,item_title,item_summary,metadata_json
lighthouse-stamp-tour:beautiful-lighthouses:season-1,beautiful-lighthouses,아름다운 등대,등대 스탬프투어,아름다운 등대 · 등대 스탬프투어,season-1,,korea-institute-of-aids-to-navigation,lighthouse-stamp-tour-season-1,해양수산부·한국항로표지기술원,https://www.lighthouse-museum.or.kr/sea/passport/but/list,beautiful01,primary,1,간절곶등대,울산광역시 울주군 서생면 대송리,,1,간절곶등대,아름다운 등대 공식 스탬프 거점,"{""season"":1,""stamp_point_type"":""lighthouse"",""suggested_category"":""01050400"",""feature_match_confidence"":""review"",""feature_match_reasons"":[""등대 자체 Feature가 아니고 인접 섬·항·공원 후보뿐이어서 위치 대체를 보류함""],""feature_match_partial"":false,""feature_match_status"":""unresolved""}"
lighthouse-stamp-tour:beautiful-lighthouses:season-1,beautiful-lighthouses,아름다운 등대,등대 스탬프투어,아름다운 등대 · 등대 스탬프투어,season-1,,korea-institute-of-aids-to-navigation,lighthouse-stamp-tour-season-1,해양수산부·한국항로표지기술원,https://www.lighthouse-museum.or.kr/sea/passport/but/list,beautiful02,primary,2,독도등대,경상북도 울릉군 울릉읍 독도리,,2,독도등대,아름다운 등대 공식 스탬프 거점,"{""season"":1,""stamp_point_type"":""lighthouse"",""suggested_category"":""01050400"",""feature_match_confidence"":""review"",""feature_match_reasons"":[""등대 자체 Feature가 아니고 인접 섬·항·공원 후보뿐이어서 위치 대체를 보류함""],""feature_match_partial"":false,""feature_match_status"":""unresolved""}"
lighthouse-stamp-tour:beautiful-lighthouses:season-1,beautiful-lighthouses,아름다운 등대,등대 스탬프투어,아름다운 등대 · 등대 스탬프투어,season-1,,korea-institute-of-aids-to-navigation,lighthouse-stamp-tour-season-1,해양수산부·한국항로표지기술원,https://www.lighthouse-museum.or.kr/sea/passport/but/list,beautiful03,primary,3,마라도등대,제주특별자치도 서귀포시 대정읍 가파리,,3,마라도등대,아름다운 등대 공식 스탬프 거점,"{""season"":1,""stamp_point_type"":""lighthouse"",""suggested_category"":""01050400"",""feature_match_confidence"":""review"",""feature_match_reasons"":[""등대 자체 Feature가 아니고 인접 섬·항·공원 후보뿐이어서 위치 대체를 보류함""],""feature_match_partial"":false,""feature_match_status"":""unresolved""}"
lighthouse-stamp-tour:beautiful-lighthouses:season-1,beautiful-lighthouses,아름다운 등대,등대 스탬프투어,아름다운 등대 · 등대 스탬프투어,season-1,,korea-institute-of-aids-to-navigation,lighthouse-stamp-tour-season-1,해양수산부·한국항로표지기술원,https://www.lighthouse-museum.or.kr/sea/passport/but/list,beautiful04,primary,4,소매물도등대,경상남도 통영시 한산면 매죽리,,4,소매물도등대,아름다운 등대 공식 스탬프 거점,"{""season"":1,""stamp_point_type"":""lighthouse"",""suggested_category"":""01050400"",""feature_match_confidence"":""review"",""feature_match_reasons"":[""등대 자체 Feature가 아니고 인접 섬·항·공원 후보뿐이어서 위치 대체를 보류함""],""feature_match_partial"":false,""feature_match_status"":""unresolved""}"
lighthouse-stamp-tour:beautiful-lighthouses:season-1,beautiful-lighthouses,아름다운 등대,등대 스탬프투어,아름다운 등대 · 등대 스탬프투어,season-1,,korea-institute-of-aids-to-navigation,lighthouse-stamp-tour-season-1,해양수산부·한국항로표지기술원,https://www.lighthouse-museum.or.kr/sea/passport/but/list,beautiful05,primary,5,소청도등대,인천광역시 옹진군 대청면 소청리,,5,소청도등대,아름다운 등대 공식 스탬프 거점,"{""season"":1,""stamp_point_type"":""lighthouse"",""suggested_category"":""01050400"",""feature_match_confidence"":""unmatched"",""feature_match_reasons"":[""제공된 운영 후보에 해당 등대 자체 또는 안전한 동일 지점 Feature가 없음""],""feature_match_partial"":false,""feature_match_status"":""unresolved""}"
lighthouse-stamp-tour:beautiful-lighthouses:season-1,beautiful-lighthouses,아름다운 등대,등대 스탬프투어,아름다운 등대 · 등대 스탬프투어,season-1,,korea-institute-of-aids-to-navigation,lighthouse-stamp-tour-season-1,해양수산부·한국항로표지기술원,https://www.lighthouse-museum.or.kr/sea/passport/but/list,beautiful06,primary,6,속초등대,강원특별자치도 속초시 영랑동,,6,속초등대,아름다운 등대 공식 스탬프 거점,"{""season"":1,""stamp_point_type"":""lighthouse"",""suggested_category"":""01050400"",""feature_match_confidence"":""review"",""feature_match_reasons"":[""등대 자체 Feature가 아니고 인접 섬·항·공원 후보뿐이어서 위치 대체를 보류함""],""feature_match_partial"":false,""feature_match_status"":""unresolved""}"
lighthouse-stamp-tour:beautiful-lighthouses:season-1,beautiful-lighthouses,아름다운 등대,등대 스탬프투어,아름다운 등대 · 등대 스탬프투어,season-1,,korea-institute-of-aids-to-navigation,lighthouse-stamp-tour-season-1,해양수산부·한국항로표지기술원,https://www.lighthouse-museum.or.kr/sea/passport/but/list,beautiful07,primary,7,어청도등대,전북특별자치도 군산시 옥도면 어청도리,,7,어청도등대,아름다운 등대 공식 스탬프 거점,"{""season"":1,""stamp_point_type"":""lighthouse"",""suggested_category"":""01050400"",""feature_match_confidence"":""unmatched"",""feature_match_reasons"":[""제공된 운영 후보에 해당 등대 자체 또는 안전한 동일 지점 Feature가 없음""],""feature_match_partial"":false,""feature_match_status"":""unresolved""}"
lighthouse-stamp-tour:beautiful-lighthouses:season-1,beautiful-lighthouses,아름다운 등대,등대 스탬프투어,아름다운 등대 · 등대 스탬프투어,season-1,,korea-institute-of-aids-to-navigation,lighthouse-stamp-tour-season-1,해양수산부·한국항로표지기술원,https://www.lighthouse-museum.or.kr/sea/passport/but/list,beautiful08,primary,8,영도등대,부산광역시 영도구 동삼동,,8,영도등대,아름다운 등대 공식 스탬프 거점,"{""season"":1,""stamp_point_type"":""lighthouse"",""suggested_category"":""01050400"",""feature_match_confidence"":""review"",""feature_match_reasons"":[""등대 자체 Feature가 아니고 인접 섬·항·공원 후보뿐이어서 위치 대체를 보류함""],""feature_match_partial"":false,""feature_match_status"":""unresolved""}"
lighthouse-stamp-tour:beautiful-lighthouses:season-1,beautiful-lighthouses,아름다운 등대,등대 스탬프투어,아름다운 등대 · 등대 스탬프투어,season-1,,korea-institute-of-aids-to-navigation,lighthouse-stamp-tour-season-1,해양수산부·한국항로표지기술원,https://www.lighthouse-museum.or.kr/sea/passport/but/list,beautiful09,primary,9,오동도등대,전라남도 여수시 수정동,,9,오동도등대,아름다운 등대 공식 스탬프 거점,"{""season"":1,""stamp_point_type"":""lighthouse"",""suggested_category"":""01050400"",""feature_match_confidence"":""review"",""feature_match_reasons"":[""등대 자체 Feature가 아니고 인접 섬·항·공원 후보뿐이어서 위치 대체를 보류함""],""feature_match_partial"":false,""feature_match_status"":""unresolved""}"
lighthouse-stamp-tour:beautiful-lighthouses:season-1,beautiful-lighthouses,아름다운 등대,등대 스탬프투어,아름다운 등대 · 등대 스탬프투어,season-1,,korea-institute-of-aids-to-navigation,lighthouse-stamp-tour-season-1,해양수산부·한국항로표지기술원,https://www.lighthouse-museum.or.kr/sea/passport/but/list,beautiful10,primary,10,옹도등대,충청남도 태안군 근흥면 가의도리,,10,옹도등대,아름다운 등대 공식 스탬프 거점,"{""season"":1,""stamp_point_type"":""lighthouse"",""suggested_category"":""01050400"",""feature_match_confidence"":""unmatched"",""feature_match_reasons"":[""제공된 운영 후보에 해당 등대 자체 또는 안전한 동일 지점 Feature가 없음""],""feature_match_partial"":false,""feature_match_status"":""unresolved""}"
